lon,lat,country_name,country_code_iso3,pm25_m4to9,fpm25_m4to9,n_months
-180,-90,NA,NA,0.2857327920695146,7.216955224672953e-4,6
-180,-89.0575942993164,NA,NA,0.25572261586785316,6.718250612417856e-4,6
-180,-88.11518096923828,NA,NA,0.2531554711361726,7.867999374866486e-4,6
-180,-87.17277526855469,NA,NA,0.2613125592470169,9.378579755624136e-4,6
-180,-86.2303695678711,NA,NA,0.25193508838613826,0.0010165174802144368,6
-180,-85.28795623779297,NA,NA,0.28304366767406464,0.0013650159041086833,6
-180,-84.345550537109375,NA,NA,0.32073896129926044,0.0017525504032770793,6
-180,-83.40314483642578,NA,NA,0.3219691713651021,0.0016699085632960002,6
-180,-82.46073150634766,NA,NA,0.28960898518562317,0.001265496015548706,6
-180,-81.51832580566406,NA,NA,0.26554301877816516,9.839410583178203e-4,6
-180,-80.57591247558594,NA,NA,0.25452614823977154,8.061875899632772e-4,6
-180,-79.63350677490234,NA,NA,0.2526927590370178,7.102141777674357e-4,6
-180,-78.69110107421875,NA,NA,0.2521345019340515,6.701300541559855e-4,6
-180,-77.748687744140625,NA,NA,0.2806286985675494,7.42003321647644e-4,6
-180,-76.80628204345703,NA,NA,0.29429661730925244,8.17383329073588e-4,6
-180,-75.86387634277344,NA,NA,0.2928905089696248,7.832919557889303e-4,6
-180,-74.92146301269531,NA,NA,0.294971543053786,7.212013006210327e-4,6
-180,-73.97905731201172,NA,NA,0.3001394247015317,6.777619322141012e-4,6
-180,-73.036651611328125,NA,NA,0.30266161759694415,6.714363892873129e-4,6
-180,-72.09423828125,NA,NA,0.30226340393225354,6.838242212931315e-4,6
-180,-71.1518325805664,NA,NA,0.3070244714617729,7.055973013242086e-4,6
-180,-70.20942687988281,NA,NA,0.31996750086545944,7.376174132029215e-4,6
-180,-69.26701354980469,NA,NA,0.3428051893909772,7.926300168037415e-4,6
-180,-68.3246078491211,NA,NA,0.3916650389631589,9.183213114738464e-4,6
-180,-67.3822021484375,NA,NA,0.4661882271369298,0.0010840843121210735,6
-180,-66.439788818359375,NA,NA,0.5742883731921514,0.00129358967145284,6
-180,-65.49738311767578,NA,NA,0.7381215691566467,0.0016434888044993083,6
-180,-64.55497741699219,NA,NA,0.9556532104810079,0.0020131568113962808,6
-180,-63.61256408691406,NA,NA,1.219368318716685,0.002351820468902588,6
-180,-62.67015838623047,NA,NA,1.4707338412602742,0.0025611321131388345,6
-180,-61.72774887084961,NA,NA,1.640308956305186,0.002970317999521891,6
-180,-60.78533935546875,NA,NA,1.7791879177093506,0.0034109950065612793,6
-180,-59.842933654785156,NA,NA,1.9136759638786316,0.0038867592811584473,6
-180,-58.9005241394043,NA,NA,2.032620052496592,0.004531641801198323,6
-180,-57.95811462402344,NA,NA,2.1425310174624124,0.005353252092997233,6
-180,-57.01570510864258,NA,NA,2.2409948905309043,0.006190101305643718,6
-180,-56.073299407958984,NA,NA,2.328169067700704,0.007011850674947103,6
-180,-55.130889892578125,NA,NA,2.418332894643148,0.007932225863138834,6
-180,-54.188480377197266,NA,NA,2.5170156955718994,0.008891105651855469,6
-180,-53.24607467651367,NA,NA,2.6302127043406167,0.0099506378173828125,6
-180,-52.30366516113281,NA,NA,2.749606450398763,0.011308908462524414,6
-180,-51.36125564575195,NA,NA,2.8323253393173218,0.012688795725504557,6
-180,-50.41884994506836,NA,NA,2.8508274157842,0.014017303784688314,6
-180,-49.4764404296875,NA,NA,2.7934457461039224,0.015410860379536947,6
-180,-48.53403091430664,NA,NA,2.6853638092676797,0.016927719116210938,6
-180,-47.59162139892578,NA,NA,2.574589729309082,0.018308043479919434,6
-180,-46.64921569824219,NA,NA,2.4476390282313027,0.019946495691935223,6
-180,-45.70680618286133,NA,NA,2.3229318459828696,0.02165563901265462,6
-180,-44.76439666748047,NA,NA,2.2091210087140403,0.02371029059092204,6
-180,-43.821990966796875,NA,NA,2.091987689336141,0.02607552210489909,6
-180,-42.879581451416016,NA,NA,1.9787109891573589,0.02826625108718872,6
-180,-41.937171936035156,NA,NA,1.8477646907170613,0.029499093691507976,6
-180,-40.99476623535156,NA,NA,1.7510361870129902,0.029967069625854492,6
-180,-40.0523567199707,NA,NA,1.6541374325752258,0.02991199493408203,6
-180,-39.109947204589844,NA,NA,1.48650461435318,0.02982880671819051,6
-180,-38.167537689208984,NA,NA,1.5044234196345012,0.02997422218322754,6
-180,-37.22513198852539,NA,NA,1.6539544661839802,0.030801574389139812,6
-180,-36.28272247314453,NA,NA,1.666497786839803,0.031042198340098064,6
-180,-35.34031295776367,NA,NA,1.688779890537262,0.03169715404510498,6
-180,-34.39790725708008,NA,NA,1.6970354715983074,0.03238290548324585,6
-180,-33.45549774169922,NA,NA,1.6893024643262227,0.032706379890441895,6
-180,-32.51308822631836,NA,NA,1.673560877641042,0.032721896966298424,6
-180,-31.570680618286133,NA,NA,1.6491299072901409,0.03245596090952555,6
-180,-30.628273010253906,NA,NA,1.61851833264033,0.03223884105682373,6
-180,-29.685863494873047,NA,NA,1.585301677385966,0.0319106380144755,6
-180,-28.74345588684082,NA,NA,1.556964914004008,0.03211762507756551,6
-180,-27.80104637145996,NA,NA,1.531279186407725,0.03260105848312378,6
-180,-26.858638763427734,NA,NA,1.50884348154068,0.03291789690653483,6
-180,-25.916231155395508,NA,NA,1.4873507221539815,0.032860755920410156,6
-180,-24.97382164001465,NA,NA,1.4650711417198181,0.03256835540135702,6
-180,-24.031414031982422,NA,NA,1.4370838403701782,0.03186033169428507,6
-180,-23.089004516601562,NA,NA,1.4167096813519795,0.03147554397583008,6
-180,-22.146596908569336,NA,NA,1.3984471956888835,0.03180396556854248,6
-180,-21.20418930053711,NA,NA,1.3798754215240479,0.031805574893951416,6
-180,-20.26177978515625,NA,NA,1.3592166503270466,0.031138638655344646,6
-180,-19.319372177124023,NA,NA,1.333002010981242,0.030040423075358074,6
-180,-18.376962661743164,NA,NA,1.3282250960667927,0.028433620929718018,6
-180,-17.434555053710938,NA,NA,1.3002703289190929,0.026779701312383015,6
-180,-16.49214744567871,NA,NA,1.2853552897771199,0.02565576632817586,6
-180,-15.549737930297852,NA,NA,1.1775701642036438,0.02546103795369466,6
-180,-14.607329368591309,NA,NA,1.1108066141605377,0.026535967985788982,6
-180,-13.664921760559082,NA,NA,1.039151539405187,0.028250863154729206,6
-180,-12.722513198852539,NA,NA,0.9667801757653555,0.03079189856847127,6
-180,-11.780104637145996,NA,NA,0.894396036863327,0.0344169537226359,6
-180,-10.837696075439453,NA,NA,0.8275181651115417,0.04022939006487528,6
-180,-9.89528751373291,NA,NA,0.7653190394242605,0.04696587721506754,6
-180,-8.952879905700684,NA,NA,0.7109587887922922,0.05612873534361521,6
-180,-8.01047134399414,NA,NA,0.6763593653837839,0.06965960562229156,6
-180,-7.068062782287598,NA,NA,0.6878816336393356,0.09335163235664368,6
-180,-6.125654220581055,NA,NA,0.7714051355918249,0.12490733464558919,6
-180,-5.18324613571167,NA,NA,0.9120231221119562,0.16320763528347015,6
-180,-4.240837574005127,NA,NA,1.0767469654480617,0.2039307951927185,6
-180,-3.298429250717163,NA,NA,1.227487027645111,0.24039681255817413,6
-180,-2.356020927429199,NA,NA,1.3375819226106007,0.2678927977879842,6
-180,-1.4136126041412354,NA,NA,1.4153305391470592,0.2879270811875661,6
-180,-0.4712041914463043,NA,NA,1.4575449426968892,0.3005942702293396,6
-180,0.4712041914463043,NA,NA,1.4644218285878499,0.3073189357916514,6
-180,1.4136126041412354,NA,NA,1.4350379506746929,0.3070064385732015,6
-180,2.356020927429199,NA,NA,1.3731160660584767,0.300470103820165,6
-180,3.298429250717163,NA,NA,1.287013550599416,0.282318909962972,6
-180,4.240837574005127,NA,NA,1.1859961251417797,0.2518454889456431,6
-180,5.18324613571167,NA,NA,1.1072390874226887,0.20817680160204569,6
-180,6.125654220581055,NA,NA,1.0681116779645283,0.1576060652732849,6
-180,7.068062782287598,NA,NA,1.0901640057563782,0.11656591792901357,6
-180,8.01047134399414,NA,NA,1.1761537094910939,0.09298346439997356,6
-180,8.952879905700684,NA,NA,1.3061790317296982,0.08340332905451457,6
-180,9.89528751373291,NA,NA,1.4618301888306935,0.08206410706043243,6
