lon,lat,country_name,country_code_iso3,pm25_annual,fpm25_annual,n_months
-180,-90,NA,NA,0.29423896720012027,0.0026456316312154136,12
-180,-89.0575942993164,NA,NA,0.2678966758151849,0.002712935209274292,12
-180,-88.11518096923828,NA,NA,0.2693403617789348,0.0034001190215349197,12
-180,-87.17277526855469,NA,NA,0.2836529177923997,0.004308051740129788,12
-180,-86.2303695678711,NA,NA,0.27626683997611207,0.00461233655611674,12
-180,-85.28795623779297,NA,NA,0.30833600958188373,0.004998909930388133,12
-180,-84.345550537109375,NA,NA,0.363032266497612,0.004915859550237656,12
-180,-83.40314483642578,NA,NA,0.3838195850451787,0.003813957174619039,12
-180,-82.46073150634766,NA,NA,0.3499746012190978,0.0025070831179618835,12
-180,-81.51832580566406,NA,NA,0.3155572327474753,0.0019586384296417236,12
-180,-80.57591247558594,NA,NA,0.29697160795331,0.0017732692261536915,12
-180,-79.63350677490234,NA,NA,0.2905367761850357,0.0017701213558514912,12
-180,-78.69110107421875,NA,NA,0.2884347351888816,0.0017720709244410198,12
-180,-77.748687744140625,NA,NA,0.31199133520325023,0.0021832560499509177,12
-180,-76.80628204345703,NA,NA,0.3305862893660863,0.002468870331843694,12
-180,-75.86387634277344,NA,NA,0.3380519027511279,0.002535187949736913,12
-180,-74.92146301269531,NA,NA,0.3469201711316903,0.002587209145228068,12
-180,-73.97905731201172,NA,NA,0.3608080732325713,0.0026340422530968985,12
-180,-73.036651611328125,NA,NA,0.3779784639676412,0.0026677226026852927,12
-180,-72.09423828125,NA,NA,0.39645586907863617,0.0026849408944447837,12
-180,-71.1518325805664,NA,NA,0.4184668076535066,0.002670681724945704,12
-180,-70.20942687988281,NA,NA,0.4498533395429452,0.0026516069968541465,12
-180,-69.26701354980469,NA,NA,0.4945807717740536,0.002604252348343531,12
-180,-68.3246078491211,NA,NA,0.5629849843680859,0.002574983984231949,12
-180,-67.3822021484375,NA,NA,0.6551278953750929,0.0026310806473096213,12
-180,-66.439788818359375,NA,NA,0.7729598258932432,0.002735704183578491,12
-180,-65.49738311767578,NA,NA,0.9287547816832861,0.002988159656524658,12
-180,-64.55497741699219,NA,NA,1.1321899990240734,0.003356089194615682,12
-180,-63.61256408691406,NA,NA,1.3714290261268616,0.003712912400563558,12
-180,-62.67015838623047,NA,NA,1.6040705343087514,0.0041053394476572675,12
-180,-61.72774887084961,NA,NA,1.7803866267204285,0.004680206378300984,12
-180,-60.78533935546875,NA,NA,1.9357316096623738,0.005367418130238851,12
-180,-59.842933654785156,NA,NA,2.0839553574721017,0.006184409062067668,12
-180,-58.9005241394043,NA,NA,2.2192591528097787,0.007269750038782756,12
-180,-57.95811462402344,NA,NA,2.3438482781251273,0.008660833040873209,12
-180,-57.01570510864258,NA,NA,2.4502296249071756,0.010246098041534424,12
-180,-56.073299407958984,NA,NA,2.5465681155522666,0.011932273705800375,12
-180,-55.130889892578125,NA,NA,2.6372727751731873,0.013647158940633139,12
-180,-54.188480377197266,NA,NA,2.735153237978617,0.015812456607818604,12
-180,-53.24607467651367,NA,NA,2.8366060853004456,0.01804266373316447,12
-180,-52.30366516113281,NA,NA,2.936507006486257,0.020455241203308105,12
-180,-51.36125564575195,NA,NA,2.998953620592753,0.023339569568634033,12
-180,-50.41884994506836,NA,NA,2.9987271626790366,0.02660063902537028,12
-180,-49.4764404296875,NA,NA,2.9261455138524375,0.030050992965698242,12
-180,-48.53403091430664,NA,NA,2.805988351504008,0.03355614344278971,12
-180,-47.59162139892578,NA,NA,2.6864976286888123,0.03705664475758871,12
-180,-46.64921569824219,NA,NA,2.55656764904658,0.041034996509552,12
-180,-45.70680618286133,NA,NA,2.4351582328478494,0.04551414648691813,12
-180,-44.76439666748047,NA,NA,2.314348965883255,0.04964912931124369,12
-180,-43.821990966796875,NA,NA,2.185926447312037,0.05370051662127177,12
-180,-42.879581451416016,NA,NA,2.068287948767344,0.056529869635899864,12
-180,-41.937171936035156,NA,NA,1.9491737087567647,0.058577527602513633,12
-180,-40.99476623535156,NA,NA,1.8604713479677837,0.05788031220436096,12
-180,-40.0523567199707,NA,NA,1.7575447758038838,0.056813210248947144,12
-180,-39.109947204589844,NA,NA,1.6231261193752289,0.055406818787256874,12
-180,-38.167537689208984,NA,NA,1.6543493469556172,0.05218153198560079,12
-180,-37.22513198852539,NA,NA,1.7750273843606312,0.0499856173992157,12
-180,-36.28272247314453,NA,NA,1.7599100073178608,0.04909174640973409,12
-180,-35.34031295776367,NA,NA,1.7723963856697083,0.04905117551485697,12
-180,-34.39790725708008,NA,NA,1.7750174502531688,0.049111644426981606,12
-180,-33.45549774169922,NA,NA,1.7535497744878132,0.049187938372294106,12
-180,-32.51308822631836,NA,NA,1.729852517445882,0.04941508173942566,12
-180,-31.570680618286133,NA,NA,1.6991661290327709,0.04840045173962911,12
-180,-30.628273010253906,NA,NA,1.6679629584153493,0.04739274581273397,12
-180,-29.685863494873047,NA,NA,1.634244481722514,0.045349458853403725,12
-180,-28.74345588684082,NA,NA,1.6060064136981964,0.043131500482559204,12
-180,-27.80104637145996,NA,NA,1.5794977049032848,0.04141703248023987,12
-180,-26.858638763427734,NA,NA,1.5546691914399464,0.03984754284222921,12
-180,-25.916231155395508,NA,NA,1.5245579183101654,0.03830615679423014,12
-180,-24.97382164001465,NA,NA,1.4924923876921337,0.03683017690976461,12
-180,-24.031414031982422,NA,NA,1.4568346838156383,0.035130470991134644,12
-180,-23.089004516601562,NA,NA,1.4242289662361145,0.03385835886001587,12
-180,-22.146596908569336,NA,NA,1.3927181214094162,0.03307530780633291,12
-180,-21.20418930053711,NA,NA,1.3548740893602371,0.03196968138217926,12
-180,-20.26177978515625,NA,NA,1.3105202714602153,0.030572017033894856,12
-180,-19.319372177124023,NA,NA,1.259714995821317,0.02915339171886444,12
-180,-18.376962661743164,NA,NA,1.2300471812486649,0.02738194167613983,12
-180,-17.434555053710938,NA,NA,1.179831624031067,0.025446077187856037,12
-180,-16.49214744567871,NA,NA,1.1466519335905712,0.023871829112370808,12
-180,-15.549737930297852,NA,NA,1.0164117788275082,0.022861823439598083,12
-180,-14.607329368591309,NA,NA,0.9350037947297096,0.022843964397907257,12
-180,-13.664921760559082,NA,NA,0.8611339603861173,0.023457979162534077,12
-180,-12.722513198852539,NA,NA,0.7968928267558416,0.024977703889211018,12
-180,-11.780104637145996,NA,NA,0.7429602245489756,0.027550068994363148,12
-180,-10.837696075439453,NA,NA,0.7036013305187225,0.03172147770722707,12
-180,-9.89528751373291,NA,NA,0.6847154448429743,0.037451863288879395,12
-180,-8.952879905700684,NA,NA,0.6946927060683569,0.04625321179628372,12
-180,-8.01047134399414,NA,NA,0.7485449860493342,0.059553029636542,12
-180,-7.068062782287598,NA,NA,0.852108009159565,0.07970752318700154,12
-180,-6.125654220581055,NA,NA,0.9986904934048653,0.10411759217580159,12
-180,-5.18324613571167,NA,NA,1.1670123214522998,0.131463589767615,12
-180,-4.240837574005127,NA,NA,1.3258527939518292,0.15876786907513937,12
-180,-3.298429250717163,NA,NA,1.4464937448501587,0.18076425542434058,12
-180,-2.356020927429199,NA,NA,1.5259690831104915,0.19575906793276468,12
-180,-1.4136126041412354,NA,NA,1.5774431178967159,0.2052485297123591,12
-180,-0.4712041914463043,NA,NA,1.5987578928470612,0.2099167803923289,12
