lon,lat,country_name,country_code_iso3,pm_2000,fpm_2000,pm_2050_45,fpm_2050_45,pm_2050_85,fpm_2050_85,pm_2100_45,fpm_2100_45,pm_2100_85,fpm_2100_85,n_months
152.5,23.089004516601562,NA,NA,2.3465194702148438,0.13768158356348673,1.9479434688886006,0.14087502161661783,2.282153606414795,0.14762224753697714,1.839645246664683,0.15548481543858847,2.203602055708567,0.21117762724558511,6
152.5,24.031414031982422,NA,NA,2.480411152044932,0.15195834636688232,2.0068215131759644,0.15313231945037842,2.3572285970052085,0.16245901584625244,1.915560523668925,0.17543190717697144,2.2605825861295066,0.22516971826553345,6
152.5,24.97382164001465,NA,NA,2.5979572335879006,0.16766651471455893,2.086685538291931,0.169930100440979,2.4257980585098267,0.17905124028523764,2.0022907853126526,0.19890757401784262,2.330879727999369,0.23909711837768555,6
152.5,25.916231155395508,NA,NA,2.7616026401519775,0.1873035430908203,2.200136343638102,0.1985365947087606,2.5176546374956765,0.2000646392504374,2.101414998372396,0.2260680596033732,2.40301913022995,0.25711997350056964,6
152.5,26.858638763427734,NA,NA,2.950461824735006,0.21151995658874512,2.342336575190226,0.2353559931119283,2.6113250255584717,0.22107829650243124,2.1984143257141113,0.25099750359853107,2.4506536523501077,0.2707524100939433,6
152.5,27.80104637145996,NA,NA,3.050368090470632,0.23648150761922201,2.456892172495524,0.276222825050354,2.671871304512024,0.24382172028223673,2.2899619340896606,0.27729135751724243,2.4795040090878806,0.27922922372817993,6
152.5,28.74345588684082,NA,NA,3.152165333429972,0.2610119978586833,2.606257975101471,0.3150211771329244,2.780752102533976,0.2760020097096761,2.412421445051829,0.31264718373616535,2.5450665950775146,0.2906153202056885,6
152.5,29.685863494873047,NA,NA,3.2263949513435364,0.282731572786967,2.771844287713369,0.3502360184987386,2.852203051249186,0.312541921933492,2.556100825468699,0.3573138316472371,2.6128931045532227,0.30449652671813965,6
152.5,30.628273010253906,NA,NA,3.3036306301752725,0.2991020083427429,2.9420937498410544,0.3875238498051961,2.906936764717102,0.34872613350550336,2.698881506919861,0.41012777884801227,2.680194000403086,0.3262230157852173,6
152.5,31.570680618286133,NA,NA,3.3723646799723306,0.3187156915664673,3.129824936389923,0.4322492480278015,2.970104396343231,0.39063135782877606,2.8201430638631186,0.46662580966949463,2.7618077198664346,0.3549509644508362,6
152.5,32.51308822631836,NA,NA,3.4743388096491494,0.3481679360071818,3.3077712853749595,0.4795289834340413,3.0416845877965293,0.4322551687558492,2.945123473803202,0.5346224904060364,2.8236666321754456,0.37436729669570923,6
152.5,33.45549774169922,NA,NA,3.581998427708944,0.3769229253133138,3.493496060371399,0.538466731707255,3.1137272715568542,0.47034504016240436,3.109976669152578,0.6258146166801453,2.8980056047439575,0.3922492464383443,6
152.5,34.39790725708008,NA,NA,3.78214438756307,0.4023646116256714,3.726343870162964,0.6095135609308878,3.2604201634724936,0.5117420752843221,3.287709971268972,0.7247041662534078,3.015136480331421,0.4178638259569804,6
152.5,35.34031295776367,NA,NA,4.015477975209554,0.4338945150375366,3.993580460548401,0.695815642674764,3.3973127206166587,0.5611149271329244,3.4361103971799216,0.8160152435302734,3.0941991408665976,0.45078704754511517,6
152.5,36.28272247314453,NA,NA,4.294772028923035,0.4697074095408122,4.2946963707606,0.7921521266301473,3.5490219990412393,0.6057241757710775,3.6337295174598694,0.9054523905118307,3.2698741356531777,0.4996703465779622,6
152.5,37.22513198852539,NA,NA,4.636027375857036,0.5097253719965616,4.596234281857808,0.8828958670298258,3.737926403681437,0.6477974653244019,3.803635517756144,0.9834231535593668,3.4684036572774253,0.5468418995539347,6
152.5,38.167537689208984,NA,NA,5.001838127772014,0.5564514001210531,4.901118199030559,0.940878709157308,3.9739038944244385,0.7008095979690552,3.937324603398641,1.033616264661153,3.6663941144943237,0.592678427696228,6
152.5,39.109947204589844,NA,NA,5.451339324315389,0.6132589975992838,5.303143938382466,0.9985488653182983,4.271239638328552,0.7639479239781698,4.112407207489014,1.0712018013000488,3.8878357807795205,0.6192465225855509,6
152.5,40.0523567199707,NA,NA,5.993479649225871,0.67399001121521,5.730448007583618,1.0352542400360107,4.668857216835022,0.8297381003697714,4.332385897636414,1.0964995622634888,4.155847827593486,0.6423521041870117,6
152.5,40.99476623535156,NA,NA,6.22242792447408,0.7231285572052002,5.863213141759236,1.054922342300415,4.890537659327189,0.8875769376754761,4.450444499651591,1.0955583254496257,4.321633497873942,0.6582467555999756,6
152.5,41.937171936035156,NA,NA,6.288757085800171,0.749570369720459,5.747535626093547,1.0718637307484944,4.962208350499471,0.9271661837895712,4.462597926457723,1.084036946296692,4.398189147313436,0.6644051472345988,6
152.5,42.879581451416016,NA,NA,6.431010723114014,0.7629494667053223,5.692989031473796,1.072092096010844,5.112611413002014,0.9586892525355021,4.509274919827779,1.0610954761505127,4.533842206001282,0.6838241418202718,6
152.5,43.821990966796875,NA,NA,6.671025355656941,0.7865903377532959,5.725779851277669,1.0493160883585613,5.327219883600871,0.9812289873758951,4.6154292821884155,1.0469129880269368,4.693980574607849,0.699029286702474,6
152.5,44.76439666748047,NA,NA,6.640192985534668,0.7962961991628011,5.68849500020345,1.0210214058558147,5.404201587041219,0.988860289255778,4.655084451039632,1.0267808834711711,4.802459994951884,0.7222604354222616,6
152.5,45.70680618286133,NA,NA,6.351834217707316,0.7966089646021525,5.485044082005818,0.9959505399068197,5.2988762855529785,0.997684121131897,4.5534946123758955,1.012413779894511,4.7808806498845415,0.7402244806289673,6
152.5,46.64921569824219,NA,NA,6.1205198764801025,0.810852845509847,5.37944495677948,0.9978980223337809,5.151272376378377,1.0094259977340698,4.444495320320129,1.0163684288660686,4.7547463575998945,0.7730059226353964,6
152.5,47.59162139892578,NA,NA,5.5818789800008135,0.7940535942713419,5.056849201520284,0.9846593141555786,4.853655020395915,0.9876713752746582,4.243721008300781,1.0135544935862224,4.608461380004883,0.813756545384725,6
152.5,48.53403091430664,NA,NA,5.108139077822368,0.7802103360493978,4.7971861362457275,0.9655687808990479,4.547432939211528,0.9668592214584351,4.061701099077861,1.0015911261240642,4.418947736422221,0.8449632326761881,6
152.5,49.4764404296875,NA,NA,4.786572813987732,0.767613410949707,4.6229978402455645,0.9488692680994669,4.3811778624852495,0.9561042785644531,3.8939948081970215,0.9891034762064616,4.283034483591716,0.8610846201578776,6
