lon,lat,country_name,country_code_iso3,pm_2000,fpm_2000,pm_2050_45,fpm_2050_45,pm_2050_85,fpm_2050_85,pm_2100_45,fpm_2100_45,pm_2100_85,fpm_2100_85,n_months,fpm_2100_rcp_chg,fpm_2050_rcp_chg,fpm_2050_45_base_chg,fpm_2050_85_base_chg,fpm_2100_45_base_chg,fpm_2100_85_base_chg
-180,-90,NA,NA,0.29423896720012027,0.0026456316312154136,0.34422794729471207,0.0029723110298315683,0.2506749667227268,0.0022767428308725357,0.29737476507822674,0.0023607599238554635,0.2536035639544328,0.0015761194129784901,12,-7.846405108769734e-4,-0.00069556819895903255,3.266793986161547e-4,-3.6888880034287785e-4,-2.8487170735995004e-4,-0.0010695122182369234
-180,-89.0575942993164,NA,NA,0.2678966758151849,0.002712935209274292,0.3105553624530633,0.002971420685450236,0.229167973001798,0.0023129830757776895,0.27544936289389926,0.002380548665920893,0.23486131553848585,0.0015676928063233693,12,-8.128558595975239e-4,-6.584376096725464e-4,2.5848547617594387e-4,-3.999521334966025e-4,-3.323865433533988e-4,-0.0011452424029509227
-180,-88.11518096923828,NA,NA,0.2693403617789348,0.0034001190215349197,0.31551532074809074,0.0034727156162261963,0.229652247702082,0.002790988733371099,0.28136345619956654,0.0028464701026678085,0.24304492709537348,0.0018658402065436046,12,-9.80629896124204e-4,-6.817268828550973e-4,7.259659469127655e-5,-6.091302881638208e-4,-5.536489188671112e-4,-0.0015342788149913151
-180,-87.17277526855469,NA,NA,0.2836529177923997,0.004308051740129788,0.3400065836807092,0.004319864014784495,0.24486437998712063,0.003544264162580172,0.30001722897092503,0.003490594526131948,0.26935056038200855,0.0023093968629837036,12,-0.0011811976631482444,-7.755998522043232e-4,1.1812274654706897e-5,-7.637875775496164e-4,-8.174572139978404e-4,-0.001998654877146085
-180,-86.2303695678711,NA,NA,0.27626683997611207,0.00461233655611674,0.3417665387193362,0.004756913830836614,0.24313080683350563,0.0039029245575269065,0.29124410326282185,0.0037402287125587463,0.28733004567523796,0.0025768627723058066,12,-0.0011633659402529397,-8.539892733097072e-4,1.4457727471987349e-4,-7.094119985898337e-4,-8.721078435579939e-4,-0.0020354737838109336
-180,-85.28795623779297,NA,NA,0.30833600958188373,0.004998909930388133,0.392060333242019,0.005098606149355571,0.2696294883886973,0.004083334157864253,0.32809175302584964,0.003941754500071208,0.3291106012960275,0.0027648148437341056,12,-0.0011769396563371024,-0.0010152719914913177,9.969621896743774e-5,-9.1557577252388e-4,-0.001057155430316925,-0.0022340950866540274
-180,-84.345550537109375,NA,NA,0.363032266497612,0.004915859550237656,0.48977024604876834,0.00497879832983017,0.3244137093424797,0.004159388442834218,0.4068450952569644,0.0036477198203404746,0.41803986330827075,0.0028358064591884613,12,-8.119133611520133e-4,-8.194098869959516e-4,6.293877959251404e-5,-7.564711074034376e-4,-0.001268139729897181,-0.0020800530910491943
-180,-83.40314483642578,NA,NA,0.3838195850451787,0.003813957174619039,0.5512102991342545,0.0042733003695805865,0.3541669932504495,0.003442831337451935,0.4593915802737077,0.002955726037422816,0.47760481759905815,0.0023960856099923453,12,-5.596404274304705e-4,-8.304690321286516e-4,4.593431949615474e-4,-3.7112583716710423e-4,-8.582311371962232e-4,-0.0014178715646266937
-180,-82.46073150634766,NA,NA,0.3499746012190978,0.0025070831179618835,0.5258968099951744,0.0030672550201416016,0.33078842237591743,0.002471156418323517,0.4327775004009406,0.002129939695199331,0.45788946623603505,0.0017447123924891155,12,-3.852273027102153e-4,-5.960986018180847e-4,5.60171902179718e-4,-3.59266996383667e-5,-3.7714342276255275e-4,-7.623707254727681e-4
-180,-81.51832580566406,NA,NA,0.3155572327474753,0.0019586384296417236,0.4801340587437153,0.0024644136428833008,0.29944425200422603,0.002005230635404587,0.38752905776103336,0.0018539875745773315,0.416923592487971,0.0013838795324166615,12,-4.7010804216067003e-4,-4.59183007478714e-4,5.057752132415771e-4,4.659220576286316e-5,-1.0465085506439209e-4,-5.747588972250621e-4
-180,-80.57591247558594,NA,NA,0.29697160795331,0.0017732692261536915,0.44851921250422794,0.0021455449362595878,0.28285686547557515,0.001772587498029073,0.3570947200059891,0.0017117435733477275,0.3871661424636841,0.0012352727353572845,12,-4.76470837990443e-4,-3.7295743823051474e-4,3.722757101058962e-4,-6.817281246185303e-7,-6.152565280596401e-5,-5.37996490796407e-4
